nSeq;I1;I2;O1;O2;A3
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;223
9;0;0;0;0;223
10;0;0;0;0;223
11;0;0;0;0;223
12;0;0;0;0;223
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;223
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;223
7;0;0;0;0;223
8;0;0;0;0;224
9;0;0;0;0;223
10;0;0;0;0;223
11;0;0;0;0;223
12;0;0;0;0;223
13;0;0;0;0;223
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;223
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;223
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;223
10;0;0;0;0;223
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;223
15;0;0;0;0;223
0;0;0;0;0;224
1;0;0;0;0;223
2;0;0;0;0;223
3;0;0;0;0;223
4;0;0;0;0;223
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;223
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;223
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;223
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;224
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;224
4;0;0;0;0;224
5;0;0;0;0;224
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;224
9;0;0;0;0;224
10;0;0;0;0;224
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;224
14;0;0;0;0;225
15;0;0;0;0;224
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;224
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;224
7;0;0;0;0;224
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;224
12;0;0;0;0;224
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;224
1;0;0;0;0;224
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;225
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;225
11;0;0;0;0;225
12;0;0;0;0;226
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;225
0;0;0;0;0;226
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;225
5;0;0;0;0;225
6;0;0;0;0;226
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;225
10;0;0;0;0;226
11;0;0;0;0;225
12;0;0;0;0;226
13;0;0;0;0;225
14;0;0;0;0;225
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;225
3;0;0;0;0;225
4;0;0;0;0;226
5;0;0;0;0;225
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;225
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;225
13;0;0;0;0;225
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;225
2;0;0;0;0;225
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;225
7;0;0;0;0;225
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;225
12;0;0;0;0;225
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;225
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;225
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;225
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;226
9;0;0;0;0;226
10;0;0;0;0;227
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;226
15;0;0;0;0;226
0;0;0;0;0;226
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;227
7;0;0;0;0;226
8;0;0;0;0;227
9;0;0;0;0;226
10;0;0;0;0;227
11;0;0;0;0;226
12;0;0;0;0;227
13;0;0;0;0;226
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;226
3;0;0;0;0;226
4;0;0;0;0;226
5;0;0;0;0;226
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;226
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;226
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;226
2;0;0;0;0;226
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;226
7;0;0;0;0;226
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;226
12;0;0;0;0;226
13;0;0;0;0;226
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;226
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;226
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;226
11;0;0;0;0;226
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;226
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;227
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;227
7;0;0;0;0;227
8;0;0;0;0;227
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;227
12;0;0;0;0;227
13;0;0;0;0;227
14;0;0;0;0;228
15;0;0;0;0;227
0;0;0;0;0;227
1;0;0;0;0;227
2;0;0;0;0;227
3;0;0;0;0;228
4;0;0;0;0;227
5;0;0;0;0;227
6;0;0;0;0;228
7;0;0;0;0;228
8;0;0;0;0;228
9;0;0;0;0;227
10;0;0;0;0;227
11;0;0;0;0;228
12;0;0;0;0;228
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;227
0;0;0;0;0;228
1;0;0;0;0;228
2;0;0;0;0;228
3;0;0;0;0;227
4;0;0;0;0;227
5;0;0;0;0;228
6;0;0;0;0;228
7;0;0;0;0;228
8;0;0;0;0;228
9;0;0;0;0;228
10;0;0;0;0;228
11;0;0;0;0;228
12;0;0;0;0;228
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;228
0;0;0;0;0;228
1;0;0;0;0;228
2;0;0;0;0;228
3;0;0;0;0;228
4;0;0;0;0;228
5;0;0;0;0;228
6;0;0;0;0;228
7;0;0;0;0;228
8;0;0;0;0;228
9;0;0;0;0;228
10;0;0;0;0;228
11;0;0;0;0;228
12;0;0;0;0;228
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;228
0;0;0;0;0;228
1;0;0;0;0;228
2;0;0;0;0;228
3;0;0;0;0;228
4;0;0;0;0;228
5;0;0;0;0;228
6;0;0;0;0;228
7;0;0;0;0;228
8;0;0;0;0;228
9;0;0;0;0;228
10;0;0;0;0;228
11;0;0;0;0;228
12;0;0;0;0;228
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;228
0;0;0;0;0;228
1;0;0;0;0;228
2;0;0;0;0;228
3;0;0;0;0;228
4;0;0;0;0;228
5;0;0;0;0;228
6;0;0;0;0;228
7;0;0;0;0;228
8;0;0;0;0;228
9;0;0;0;0;228
10;0;0;0;0;228
11;0;0;0;0;228
12;0;0;0;0;228
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;228
0;0;0;0;0;228
1;0;0;0;0;228
2;0;0;0;0;228
3;0;0;0;0;228
4;0;0;0;0;228
5;0;0;0;0;228
6;0;0;0;0;228
7;0;0;0;0;228
8;0;0;0;0;228
9;0;0;0;0;228
10;0;0;0;0;228
11;0;0;0;0;228
12;0;0;0;0;228
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;228
0;0;0;0;0;228
1;0;0;0;0;228
2;0;0;0;0;228
3;0;0;0;0;228
4;0;0;0;0;228
5;0;0;0;0;228
6;0;0;0;0;228
7;0;0;0;0;229
8;0;0;0;0;228
9;0;0;0;0;228
10;0;0;0;0;229
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;228
14;0;0;0;0;228
15;0;0;0;0;229
0;0;0;0;0;229
1;0;0;0;0;229
2;0;0;0;0;228
3;0;0;0;0;228
4;0;0;0;0;229
5;0;0;0;0;229
6;0;0;0;0;229
7;0;0;0;0;228
8;0;0;0;0;229
9;0;0;0;0;229
10;0;0;0;0;229
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;229
14;0;0;0;0;229
15;0;0;0;0;229
0;0;0;0;0;229
1;0;0;0;0;229
2;0;0;0;0;229
3;0;0;0;0;229
4;0;0;0;0;229
5;0;0;0;0;229
6;0;0;0;0;229
7;0;0;0;0;229
8;0;0;0;0;229
9;0;0;0;0;229
10;0;0;0;0;229
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;229
14;0;0;0;0;229
15;0;0;0;0;229
0;0;0;0;0;229
1;0;0;0;0;229
2;0;0;0;0;229
3;0;0;0;0;229
4;0;0;0;0;229
5;0;0;0;0;229
6;0;0;0;0;229
7;0;0;0;0;229
8;0;0;0;0;229
9;0;0;0;0;229
10;0;0;0;0;229
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;229
14;0;0;0;0;229
15;0;0;0;0;229
0;0;0;0;0;229
1;0;0;0;0;229
2;0;0;0;0;229
3;0;0;0;0;229
4;0;0;0;0;229
5;0;0;0;0;229
6;0;0;0;0;229
7;0;0;0;0;229
8;0;0;0;0;229
9;0;0;0;0;229
10;0;0;0;0;229
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;229
14;0;0;0;0;229
15;0;0;0;0;229
0;0;0;0;0;229
1;0;0;0;0;229
2;0;0;0;0;229
3;0;0;0;0;229
4;0;0;0;0;229
5;0;0;0;0;229
6;0;0;0;0;229
7;0;0;0;0;229
8;0;0;0;0;229
9;0;0;0;0;229
10;0;0;0;0;229
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;229
14;0;0;0;0;229
15;0;0;0;0;229
0;0;0;0;0;230
1;0;0;0;0;229
2;0;0;0;0;229
3;0;0;0;0;229
4;0;0;0;0;229
5;0;0;0;0;229
6;0;0;0;0;229
7;0;0;0;0;229
8;0;0;0;0;229
9;0;0;0;0;229
10;0;0;0;0;229
11;0;0;0;0;230
12;0;0;0;0;229
13;0;0;0;0;229
14;0;0;0;0;230
15;0;0;0;0;230
0;0;0;0;0;230
1;0;0;0;0;229
2;0;0;0;0;229
3;0;0;0;0;230
4;0;0;0;0;230
5;0;0;0;0;230
6;0;0;0;0;229
7;0;0;0;0;229
8;0;0;0;0;230
9;0;0;0;0;230
10;0;0;0;0;230
11;0;0;0;0;229
12;0;0;0;0;229
13;0;0;0;0;230
14;0;0;0;0;230
15;0;0;0;0;230
0;0;0;0;0;230
1;0;0;0;0;230
2;0;0;0;0;230
3;0;0;0;0;230
4;0;0;0;0;230
5;0;0;0;0;230
6;0;0;0;0;230
7;0;0;0;0;230
8;0;0;0;0;230
9;0;0;0;0;230
10;0;0;0;0;230
11;0;0;0;0;230
12;0;0;0;0;230
13;0;0;0;0;230
14;0;0;0;0;230
15;0;0;0;0;230
0;0;0;0;0;230
1;0;0;0;0;230
2;0;0;0;0;230
3;0;0;0;0;230
4;0;0;0;0;230
5;0;0;0;0;230
6;0;0;0;0;230
7;0;0;0;0;230
8;0;0;0;0;230
9;0;0;0;0;230
10;0;0;0;0;230
11;0;0;0;0;230
12;0;0;0;0;230
13;0;0;0;0;230
14;0;0;0;0;230
15;0;0;0;0;230
0;0;0;0;0;230
